[epoch 1] train_loss: 1.750  val_accuracy: 0.591
[epoch 3] train_loss: 1.601  val_accuracy: 0.626
[epoch 4] train_loss: 1.534  val_accuracy: 0.632
[epoch 5] train_loss: 1.513  val_accuracy: 0.658
[epoch 6] train_loss: 1.501  val_accuracy: 0.672
[epoch 10] train_loss: 1.402  val_accuracy: 0.707
[epoch 13] train_loss: 1.345  val_accuracy: 0.742
[epoch 14] train_loss: 1.325  val_accuracy: 0.743
[epoch 19] train_loss: 1.264  val_accuracy: 0.748
[epoch 31] train_loss: 1.104  val_accuracy: 0.766
[epoch 37] train_loss: 1.053  val_accuracy: 0.770
[epoch 40] train_loss: 1.028  val_accuracy: 0.775
[epoch 46] train_loss: 0.966  val_accuracy: 0.785
[epoch 50] train_loss: 0.915  val_accuracy: 0.795
