[epoch 1] train_loss: 5.488  val_accuracy: 0.457
[epoch 2] train_loss: 3.098  val_accuracy: 0.542
[epoch 3] train_loss: 2.303  val_accuracy: 0.570
[epoch 4] train_loss: 1.960  val_accuracy: 0.616
[epoch 6] train_loss: 1.657  val_accuracy: 0.619
[epoch 7] train_loss: 1.545  val_accuracy: 0.656
[epoch 9] train_loss: 1.460  val_accuracy: 0.664
[epoch 10] train_loss: 1.419  val_accuracy: 0.687
[epoch 12] train_loss: 1.345  val_accuracy: 0.689
[epoch 13] train_loss: 1.309  val_accuracy: 0.712
[epoch 14] train_loss: 1.286  val_accuracy: 0.722
[epoch 15] train_loss: 1.251  val_accuracy: 0.723
[epoch 16] train_loss: 1.251  val_accuracy: 0.746
[epoch 19] train_loss: 1.189  val_accuracy: 0.756
[epoch 22] train_loss: 1.137  val_accuracy: 0.760
[epoch 23] train_loss: 1.119  val_accuracy: 0.765
[epoch 26] train_loss: 1.066  val_accuracy: 0.777
[epoch 37] train_loss: 0.917  val_accuracy: 0.800
[epoch 38] train_loss: 0.909  val_accuracy: 0.806
[epoch 54] train_loss: 0.702  val_accuracy: 0.813
