[epoch 1] train_loss: 5.422  val_accuracy: 0.450
[epoch 2] train_loss: 2.561  val_accuracy: 0.541
[epoch 3] train_loss: 1.951  val_accuracy: 0.605
[epoch 4] train_loss: 1.710  val_accuracy: 0.625
[epoch 5] train_loss: 1.551  val_accuracy: 0.640
[epoch 6] train_loss: 1.438  val_accuracy: 0.642
[epoch 8] train_loss: 1.314  val_accuracy: 0.695
[epoch 12] train_loss: 1.130  val_accuracy: 0.718
[epoch 16] train_loss: 1.015  val_accuracy: 0.732
[epoch 17] train_loss: 0.987  val_accuracy: 0.741
[epoch 18] train_loss: 0.968  val_accuracy: 0.741
[epoch 21] train_loss: 0.900  val_accuracy: 0.765
[epoch 23] train_loss: 0.844  val_accuracy: 0.769
[epoch 25] train_loss: 0.823  val_accuracy: 0.776
[epoch 32] train_loss: 0.686  val_accuracy: 0.777
[epoch 40] train_loss: 0.580  val_accuracy: 0.789
[epoch 44] train_loss: 0.544  val_accuracy: 0.800
[epoch 63] train_loss: 0.428  val_accuracy: 0.803
[epoch 65] train_loss: 0.432  val_accuracy: 0.805
[epoch 66] train_loss: 0.422  val_accuracy: 0.806
[epoch 84] train_loss: 0.402  val_accuracy: 0.808
[epoch 86] train_loss: 0.410  val_accuracy: 0.813
