[epoch 1] train_loss: 5.467  val_accuracy: 0.434
[epoch 2] train_loss: 2.561  val_accuracy: 0.546
[epoch 3] train_loss: 1.946  val_accuracy: 0.592
[epoch 4] train_loss: 1.711  val_accuracy: 0.628
[epoch 5] train_loss: 1.557  val_accuracy: 0.677
[epoch 8] train_loss: 1.325  val_accuracy: 0.680
[epoch 9] train_loss: 1.243  val_accuracy: 0.707
[epoch 12] train_loss: 1.137  val_accuracy: 0.730
[epoch 15] train_loss: 1.040  val_accuracy: 0.753
[epoch 17] train_loss: 0.985  val_accuracy: 0.755
[epoch 23] train_loss: 0.851  val_accuracy: 0.764
[epoch 26] train_loss: 0.794  val_accuracy: 0.766
[epoch 29] train_loss: 0.735  val_accuracy: 0.776
[epoch 30] train_loss: 0.711  val_accuracy: 0.789
[epoch 45] train_loss: 0.514  val_accuracy: 0.800
[epoch 52] train_loss: 0.453  val_accuracy: 0.800
[epoch 54] train_loss: 0.451  val_accuracy: 0.809
[epoch 64] train_loss: 0.401  val_accuracy: 0.815
[epoch 87] train_loss: 0.305  val_accuracy: 0.816
[epoch 89] train_loss: 0.308  val_accuracy: 0.826
