[epoch 1] train_loss: 6.670  val_accuracy: 0.282
[epoch 2] train_loss: 5.396  val_accuracy: 0.384
[epoch 3] train_loss: 4.281  val_accuracy: 0.504
[epoch 4] train_loss: 3.450  val_accuracy: 0.538
[epoch 5] train_loss: 2.912  val_accuracy: 0.563
[epoch 6] train_loss: 2.578  val_accuracy: 0.574
[epoch 7] train_loss: 2.301  val_accuracy: 0.594
[epoch 8] train_loss: 2.131  val_accuracy: 0.604
[epoch 9] train_loss: 1.989  val_accuracy: 0.614
[epoch 11] train_loss: 1.797  val_accuracy: 0.615
[epoch 13] train_loss: 1.652  val_accuracy: 0.625
[epoch 14] train_loss: 1.602  val_accuracy: 0.642
[epoch 15] train_loss: 1.554  val_accuracy: 0.652
[epoch 16] train_loss: 1.508  val_accuracy: 0.653
[epoch 17] train_loss: 1.479  val_accuracy: 0.654
[epoch 19] train_loss: 1.433  val_accuracy: 0.660
[epoch 20] train_loss: 1.385  val_accuracy: 0.696
[epoch 22] train_loss: 1.366  val_accuracy: 0.698
[epoch 23] train_loss: 1.318  val_accuracy: 0.704
[epoch 25] train_loss: 1.274  val_accuracy: 0.707
[epoch 27] train_loss: 1.261  val_accuracy: 0.729
[epoch 33] train_loss: 1.156  val_accuracy: 0.731
[epoch 42] train_loss: 1.038  val_accuracy: 0.744
[epoch 51] train_loss: 0.969  val_accuracy: 0.777
[epoch 75] train_loss: 0.748  val_accuracy: 0.788
