[epoch 1] train_loss: 7.025  val_accuracy: 0.217
[epoch 2] train_loss: 6.389  val_accuracy: 0.268
[epoch 3] train_loss: 5.761  val_accuracy: 0.342
[epoch 4] train_loss: 5.158  val_accuracy: 0.412
[epoch 5] train_loss: 4.585  val_accuracy: 0.458
[epoch 6] train_loss: 4.096  val_accuracy: 0.496
[epoch 7] train_loss: 3.701  val_accuracy: 0.543
[epoch 8] train_loss: 3.360  val_accuracy: 0.550
[epoch 9] train_loss: 3.040  val_accuracy: 0.585
[epoch 19] train_loss: 1.880  val_accuracy: 0.612
[epoch 23] train_loss: 1.697  val_accuracy: 0.613
[epoch 24] train_loss: 1.647  val_accuracy: 0.638
[epoch 28] train_loss: 1.552  val_accuracy: 0.658
[epoch 34] train_loss: 1.430  val_accuracy: 0.672
[epoch 38] train_loss: 1.342  val_accuracy: 0.674
[epoch 41] train_loss: 1.297  val_accuracy: 0.677
[epoch 42] train_loss: 1.303  val_accuracy: 0.681
[epoch 43] train_loss: 1.278  val_accuracy: 0.685
[epoch 44] train_loss: 1.264  val_accuracy: 0.716
[epoch 52] train_loss: 1.185  val_accuracy: 0.727
[epoch 53] train_loss: 1.168  val_accuracy: 0.728
[epoch 56] train_loss: 1.167  val_accuracy: 0.733
[epoch 66] train_loss: 1.053  val_accuracy: 0.737
[epoch 71] train_loss: 1.031  val_accuracy: 0.739
[epoch 73] train_loss: 1.016  val_accuracy: 0.747
[epoch 83] train_loss: 0.934  val_accuracy: 0.752
[epoch 95] train_loss: 0.882  val_accuracy: 0.756
[epoch 96] train_loss: 0.864  val_accuracy: 0.771
