[epoch 1] train_loss: 5.429  val_accuracy: 0.479
[epoch 2] train_loss: 2.538  val_accuracy: 0.579
[epoch 3] train_loss: 1.959  val_accuracy: 0.584
[epoch 4] train_loss: 1.685  val_accuracy: 0.607
[epoch 5] train_loss: 1.545  val_accuracy: 0.643
[epoch 6] train_loss: 1.465  val_accuracy: 0.649
[epoch 7] train_loss: 1.384  val_accuracy: 0.678
[epoch 8] train_loss: 1.329  val_accuracy: 0.700
[epoch 12] train_loss: 1.129  val_accuracy: 0.703
[epoch 14] train_loss: 1.059  val_accuracy: 0.722
[epoch 15] train_loss: 1.042  val_accuracy: 0.732
[epoch 20] train_loss: 0.905  val_accuracy: 0.753
[epoch 25] train_loss: 0.804  val_accuracy: 0.764
[epoch 26] train_loss: 0.803  val_accuracy: 0.770
[epoch 32] train_loss: 0.709  val_accuracy: 0.781
[epoch 38] train_loss: 0.609  val_accuracy: 0.783
[epoch 40] train_loss: 0.583  val_accuracy: 0.794
[epoch 43] train_loss: 0.554  val_accuracy: 0.798
[epoch 53] train_loss: 0.479  val_accuracy: 0.801
[epoch 63] train_loss: 0.401  val_accuracy: 0.811
[epoch 69] train_loss: 0.366  val_accuracy: 0.814
[epoch 72] train_loss: 0.348  val_accuracy: 0.821
[epoch 89] train_loss: 0.309  val_accuracy: 0.822
[epoch 90] train_loss: 0.290  val_accuracy: 0.828
