[epoch 1] train_loss: 6.935  val_accuracy: 0.285
[epoch 2] train_loss: 4.034  val_accuracy: 0.457
[epoch 3] train_loss: 2.801  val_accuracy: 0.541
[epoch 4] train_loss: 2.297  val_accuracy: 0.595
[epoch 5] train_loss: 2.010  val_accuracy: 0.595
[epoch 6] train_loss: 1.805  val_accuracy: 0.629
[epoch 9] train_loss: 1.510  val_accuracy: 0.631
[epoch 10] train_loss: 1.457  val_accuracy: 0.666
[epoch 12] train_loss: 1.355  val_accuracy: 0.675
[epoch 15] train_loss: 1.263  val_accuracy: 0.697
[epoch 16] train_loss: 1.225  val_accuracy: 0.702
[epoch 18] train_loss: 1.166  val_accuracy: 0.702
[epoch 20] train_loss: 1.106  val_accuracy: 0.709
[epoch 23] train_loss: 1.065  val_accuracy: 0.713
[epoch 24] train_loss: 1.021  val_accuracy: 0.729
[epoch 27] train_loss: 0.968  val_accuracy: 0.730
[epoch 28] train_loss: 0.950  val_accuracy: 0.750
[epoch 36] train_loss: 0.817  val_accuracy: 0.760
[epoch 44] train_loss: 0.727  val_accuracy: 0.767
[epoch 49] train_loss: 0.695  val_accuracy: 0.769
[epoch 52] train_loss: 0.670  val_accuracy: 0.769
[epoch 59] train_loss: 0.585  val_accuracy: 0.778
[epoch 63] train_loss: 0.566  val_accuracy: 0.788
[epoch 64] train_loss: 0.559  val_accuracy: 0.792
[epoch 70] train_loss: 0.513  val_accuracy: 0.800
