[epoch 1] train_loss: 5.951  val_accuracy: 0.389
[epoch 2] train_loss: 3.789  val_accuracy: 0.531
[epoch 3] train_loss: 2.680  val_accuracy: 0.566
[epoch 4] train_loss: 2.246  val_accuracy: 0.604
[epoch 6] train_loss: 1.825  val_accuracy: 0.628
[epoch 7] train_loss: 1.678  val_accuracy: 0.643
[epoch 10] train_loss: 1.495  val_accuracy: 0.662
[epoch 11] train_loss: 1.431  val_accuracy: 0.667
[epoch 12] train_loss: 1.405  val_accuracy: 0.672
[epoch 14] train_loss: 1.337  val_accuracy: 0.687
[epoch 15] train_loss: 1.294  val_accuracy: 0.712
[epoch 16] train_loss: 1.279  val_accuracy: 0.723
[epoch 19] train_loss: 1.212  val_accuracy: 0.730
[epoch 22] train_loss: 1.156  val_accuracy: 0.741
[epoch 25] train_loss: 1.121  val_accuracy: 0.745
[epoch 28] train_loss: 1.071  val_accuracy: 0.753
[epoch 31] train_loss: 1.030  val_accuracy: 0.762
[epoch 33] train_loss: 1.014  val_accuracy: 0.766
[epoch 38] train_loss: 0.934  val_accuracy: 0.784
[epoch 47] train_loss: 0.846  val_accuracy: 0.794
[epoch 59] train_loss: 0.724  val_accuracy: 0.799
[epoch 65] train_loss: 0.661  val_accuracy: 0.801
[epoch 68] train_loss: 0.631  val_accuracy: 0.802
[epoch 74] train_loss: 0.595  val_accuracy: 0.804
[epoch 95] train_loss: 0.464  val_accuracy: 0.807
[epoch 143] train_loss: 0.346  val_accuracy: 0.809
[epoch 146] train_loss: 0.317  val_accuracy: 0.814
[epoch 159] train_loss: 0.318  val_accuracy: 0.818
[epoch 205] train_loss: 0.289  val_accuracy: 0.818
[epoch 210] train_loss: 0.286  val_accuracy: 0.821
