[epoch 1] train_loss: 3.930  val_accuracy: 0.531
[epoch 2] train_loss: 1.875  val_accuracy: 0.618
[epoch 3] train_loss: 1.588  val_accuracy: 0.644
[epoch 4] train_loss: 1.454  val_accuracy: 0.681
[epoch 7] train_loss: 1.239  val_accuracy: 0.719
[epoch 10] train_loss: 1.089  val_accuracy: 0.730
[epoch 13] train_loss: 0.977  val_accuracy: 0.773
[epoch 18] train_loss: 0.851  val_accuracy: 0.785
[epoch 20] train_loss: 0.814  val_accuracy: 0.794
[epoch 21] train_loss: 0.772  val_accuracy: 0.796
[epoch 26] train_loss: 0.700  val_accuracy: 0.811
[epoch 34] train_loss: 0.593  val_accuracy: 0.816
[epoch 39] train_loss: 0.536  val_accuracy: 0.819
