[epoch 1] train_loss: 3.325  val_accuracy: 0.653
[epoch 2] train_loss: 1.478  val_accuracy: 0.721
[epoch 5] train_loss: 1.009  val_accuracy: 0.737
[epoch 6] train_loss: 0.896  val_accuracy: 0.737
[epoch 13] train_loss: 0.495  val_accuracy: 0.746
[epoch 14] train_loss: 0.473  val_accuracy: 0.751
[epoch 24] train_loss: 0.305  val_accuracy: 0.754
[epoch 25] train_loss: 0.304  val_accuracy: 0.754
[epoch 27] train_loss: 0.293  val_accuracy: 0.770
[epoch 28] train_loss: 0.298  val_accuracy: 0.782
[epoch 54] train_loss: 0.231  val_accuracy: 0.791
[epoch 73] train_loss: 0.199  val_accuracy: 0.793
[epoch 86] train_loss: 0.183  val_accuracy: 0.805
[epoch 100] train_loss: 0.169  val_accuracy: 0.809
[epoch 113] train_loss: 0.166  val_accuracy: 0.815
[epoch 197] train_loss: 0.130  val_accuracy: 0.827
