[epoch 1] train_loss: 1.649  val_accuracy: 0.620
[epoch 2] train_loss: 1.539  val_accuracy: 0.646
[epoch 3] train_loss: 1.457  val_accuracy: 0.656
[epoch 4] train_loss: 1.375  val_accuracy: 0.693
[epoch 5] train_loss: 1.312  val_accuracy: 0.719
[epoch 6] train_loss: 1.242  val_accuracy: 0.726
[epoch 8] train_loss: 1.104  val_accuracy: 0.728
[epoch 9] train_loss: 1.057  val_accuracy: 0.740
[epoch 10] train_loss: 1.006  val_accuracy: 0.743
[epoch 11] train_loss: 0.943  val_accuracy: 0.784
[epoch 12] train_loss: 0.880  val_accuracy: 0.795
[epoch 39] train_loss: 0.253  val_accuracy: 0.796
[epoch 40] train_loss: 0.233  val_accuracy: 0.798
[epoch 43] train_loss: 0.226  val_accuracy: 0.813
[epoch 51] train_loss: 0.207  val_accuracy: 0.813
[epoch 59] train_loss: 0.190  val_accuracy: 0.828
[epoch 92] train_loss: 0.139  val_accuracy: 0.831
