[epoch 1] train_loss: 3.939  val_accuracy: 0.564
[epoch 2] train_loss: 1.880  val_accuracy: 0.624
[epoch 3] train_loss: 1.587  val_accuracy: 0.655
[epoch 4] train_loss: 1.449  val_accuracy: 0.684
[epoch 6] train_loss: 1.296  val_accuracy: 0.729
[epoch 10] train_loss: 1.112  val_accuracy: 0.732
[epoch 11] train_loss: 1.054  val_accuracy: 0.760
[epoch 14] train_loss: 0.961  val_accuracy: 0.764
[epoch 15] train_loss: 0.923  val_accuracy: 0.770
[epoch 17] train_loss: 0.877  val_accuracy: 0.788
[epoch 24] train_loss: 0.739  val_accuracy: 0.804
[epoch 40] train_loss: 0.499  val_accuracy: 0.819
[epoch 45] train_loss: 0.479  val_accuracy: 0.819
