[epoch 1] train_loss: 6.606  val_accuracy: 0.332
[epoch 2] train_loss: 3.740  val_accuracy: 0.504
[epoch 3] train_loss: 2.662  val_accuracy: 0.558
[epoch 5] train_loss: 2.045  val_accuracy: 0.560
[epoch 6] train_loss: 1.875  val_accuracy: 0.606
[epoch 8] train_loss: 1.709  val_accuracy: 0.631
[epoch 12] train_loss: 1.530  val_accuracy: 0.648
[epoch 14] train_loss: 1.463  val_accuracy: 0.657
[epoch 19] train_loss: 1.327  val_accuracy: 0.679
[epoch 26] train_loss: 1.217  val_accuracy: 0.705
[epoch 32] train_loss: 1.136  val_accuracy: 0.712
[epoch 33] train_loss: 1.138  val_accuracy: 0.727
[epoch 34] train_loss: 1.099  val_accuracy: 0.739
[epoch 42] train_loss: 1.029  val_accuracy: 0.742
[epoch 45] train_loss: 1.011  val_accuracy: 0.758
[epoch 51] train_loss: 0.947  val_accuracy: 0.773
[epoch 65] train_loss: 0.814  val_accuracy: 0.773
[epoch 71] train_loss: 0.790  val_accuracy: 0.781
[epoch 74] train_loss: 0.767  val_accuracy: 0.783
[epoch 90] train_loss: 0.676  val_accuracy: 0.787
[epoch 92] train_loss: 0.654  val_accuracy: 0.798
[epoch 115] train_loss: 0.559  val_accuracy: 0.804
[epoch 118] train_loss: 0.546  val_accuracy: 0.808
[epoch 121] train_loss: 0.547  val_accuracy: 0.814
[epoch 137] train_loss: 0.503  val_accuracy: 0.816
[epoch 139] train_loss: 0.490  val_accuracy: 0.819
[epoch 148] train_loss: 0.481  val_accuracy: 0.825
[epoch 150] train_loss: 0.472  val_accuracy: 0.828
[epoch 203] train_loss: 0.364  val_accuracy: 0.828
[epoch 249] train_loss: 0.315  val_accuracy: 0.830
