[epoch 1] train_loss: 6.612  val_accuracy: 0.351
[epoch 2] train_loss: 3.717  val_accuracy: 0.483
[epoch 3] train_loss: 2.667  val_accuracy: 0.536
[epoch 4] train_loss: 2.256  val_accuracy: 0.559
[epoch 5] train_loss: 2.044  val_accuracy: 0.578
[epoch 6] train_loss: 1.908  val_accuracy: 0.607
[epoch 8] train_loss: 1.713  val_accuracy: 0.623
[epoch 9] train_loss: 1.664  val_accuracy: 0.627
[epoch 11] train_loss: 1.546  val_accuracy: 0.645
[epoch 12] train_loss: 1.519  val_accuracy: 0.649
[epoch 14] train_loss: 1.448  val_accuracy: 0.664
[epoch 15] train_loss: 1.462  val_accuracy: 0.667
[epoch 16] train_loss: 1.398  val_accuracy: 0.668
[epoch 19] train_loss: 1.341  val_accuracy: 0.669
[epoch 21] train_loss: 1.276  val_accuracy: 0.691
[epoch 27] train_loss: 1.203  val_accuracy: 0.704
[epoch 29] train_loss: 1.146  val_accuracy: 0.718
[epoch 33] train_loss: 1.108  val_accuracy: 0.729
[epoch 36] train_loss: 1.112  val_accuracy: 0.738
[epoch 39] train_loss: 1.041  val_accuracy: 0.750
[epoch 45] train_loss: 1.009  val_accuracy: 0.750
[epoch 51] train_loss: 0.920  val_accuracy: 0.753
[epoch 52] train_loss: 0.927  val_accuracy: 0.761
[epoch 56] train_loss: 0.903  val_accuracy: 0.772
[epoch 72] train_loss: 0.783  val_accuracy: 0.778
[epoch 73] train_loss: 0.773  val_accuracy: 0.784
[epoch 82] train_loss: 0.718  val_accuracy: 0.787
[epoch 87] train_loss: 0.710  val_accuracy: 0.795
[epoch 108] train_loss: 0.590  val_accuracy: 0.800
[epoch 125] train_loss: 0.532  val_accuracy: 0.802
[epoch 126] train_loss: 0.525  val_accuracy: 0.807
[epoch 131] train_loss: 0.493  val_accuracy: 0.812
[epoch 137] train_loss: 0.480  val_accuracy: 0.821
[epoch 173] train_loss: 0.405  val_accuracy: 0.828
