[epoch 1] train_loss: 3.914  val_accuracy: 0.592
[epoch 2] train_loss: 1.866  val_accuracy: 0.633
[epoch 3] train_loss: 1.602  val_accuracy: 0.657
[epoch 4] train_loss: 1.470  val_accuracy: 0.679
[epoch 5] train_loss: 1.353  val_accuracy: 0.684
[epoch 6] train_loss: 1.290  val_accuracy: 0.705
[epoch 8] train_loss: 1.188  val_accuracy: 0.729
[epoch 11] train_loss: 1.068  val_accuracy: 0.734
[epoch 14] train_loss: 0.951  val_accuracy: 0.769
[epoch 22] train_loss: 0.772  val_accuracy: 0.786
[epoch 23] train_loss: 0.750  val_accuracy: 0.787
[epoch 24] train_loss: 0.721  val_accuracy: 0.789
[epoch 28] train_loss: 0.668  val_accuracy: 0.810
[epoch 40] train_loss: 0.515  val_accuracy: 0.823
[epoch 46] train_loss: 0.465  val_accuracy: 0.827
