[epoch 1] train_loss: 6.353  val_accuracy: 0.329
[epoch 2] train_loss: 3.311  val_accuracy: 0.554
[epoch 3] train_loss: 2.338  val_accuracy: 0.571
[epoch 5] train_loss: 1.761  val_accuracy: 0.635
[epoch 6] train_loss: 1.615  val_accuracy: 0.643
[epoch 7] train_loss: 1.551  val_accuracy: 0.648
[epoch 8] train_loss: 1.457  val_accuracy: 0.660
[epoch 9] train_loss: 1.391  val_accuracy: 0.678
[epoch 13] train_loss: 1.200  val_accuracy: 0.694
[epoch 19] train_loss: 1.060  val_accuracy: 0.723
[epoch 22] train_loss: 1.003  val_accuracy: 0.724
[epoch 27] train_loss: 0.871  val_accuracy: 0.732
[epoch 29] train_loss: 0.858  val_accuracy: 0.760
[epoch 42] train_loss: 0.662  val_accuracy: 0.779
[epoch 48] train_loss: 0.608  val_accuracy: 0.784
[epoch 51] train_loss: 0.581  val_accuracy: 0.789
[epoch 57] train_loss: 0.527  val_accuracy: 0.791
[epoch 59] train_loss: 0.514  val_accuracy: 0.802
[epoch 70] train_loss: 0.444  val_accuracy: 0.807
[epoch 72] train_loss: 0.426  val_accuracy: 0.809
[epoch 101] train_loss: 0.312  val_accuracy: 0.810
[epoch 106] train_loss: 0.288  val_accuracy: 0.817
[epoch 113] train_loss: 0.287  val_accuracy: 0.818
[epoch 121] train_loss: 0.271  val_accuracy: 0.821
[epoch 132] train_loss: 0.256  val_accuracy: 0.825
