[epoch 1] train_loss: 4.778  val_accuracy: 0.501
[epoch 2] train_loss: 2.203  val_accuracy: 0.589
[epoch 3] train_loss: 1.769  val_accuracy: 0.618
[epoch 4] train_loss: 1.601  val_accuracy: 0.662
[epoch 5] train_loss: 1.459  val_accuracy: 0.677
[epoch 8] train_loss: 1.241  val_accuracy: 0.696
[epoch 10] train_loss: 1.156  val_accuracy: 0.707
[epoch 12] train_loss: 1.072  val_accuracy: 0.719
[epoch 13] train_loss: 1.032  val_accuracy: 0.725
[epoch 14] train_loss: 0.989  val_accuracy: 0.752
[epoch 20] train_loss: 0.840  val_accuracy: 0.752
[epoch 22] train_loss: 0.819  val_accuracy: 0.768
[epoch 28] train_loss: 0.712  val_accuracy: 0.788
[epoch 31] train_loss: 0.676  val_accuracy: 0.804
[epoch 44] train_loss: 0.504  val_accuracy: 0.818
[epoch 53] train_loss: 0.448  val_accuracy: 0.822
[epoch 58] train_loss: 0.428  val_accuracy: 0.822
[epoch 74] train_loss: 0.377  val_accuracy: 0.828
